"sciname","common_name","country","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","iso3c","capture"
"sardinella spp","sardine",NA,"yes","yes",0.766568097419838,"skretting",NA,"sardine",NA,"yes"
"sardinops sagax","south american pilchard","Chile","yes","no",0,"skretting",NA,"south american pilchard","CHL","yes"
"sardinops sagax","south american pilchard","Ecuador","yes","no",0,"skretting",NA,"south american pilchard","ECU","yes"
"sardinops sagax","south american pilchard","Peru","yes","no",0,"skretting",NA,"south american pilchard","PER","yes"
"scomber japonicus","chub mackerel","Chile","yes","no",0,"skretting",NA,"chub mackerel","CHL","yes"
"scomber japonicus","chub mackerel","Ecuador","yes","yes",0.100564007849185,"skretting",NA,"chub mackerel","ECU","yes"
"scomber japonicus","chub mackerel","Mexico","yes","no",0,"skretting",NA,"chub mackerel","MEX","yes"
"scomber japonicus","chub mackerel","Peru","yes","no",0,"skretting",NA,"chub mackerel","PER","yes"
"scomber scombrus","atlantic mackerel","Denmark","no","yes",1,"skretting",NA,"atlantic mackerel","DNK","yes"
"scomber scombrus","atlantic mackerel","Iceland","no","yes",1,"skretting",NA,"atlantic mackerel","ISL","yes"
"scomber scombrus","atlantic mackerel","Norway","no","yes",1,"skretting",NA,"atlantic mackerel","NOR","yes"
"scomber scombrus","atlantic mackerel","Spain","no","yes",1,"skretting",NA,"atlantic mackerel","ESP","yes"
"scomber scombrus","atlantic mackerel","UK","no","yes",1,"skretting",NA,"atlantic mackerel","GBR","yes"
"selaroides leptolepis","yellowstripe scad",NA,"no","yes",1,"skretting",NA,"yellowstripe scad",NA,"yes"
"siganus guttatus","orange-spotted spinefoot","Vietnam","no","yes",1,"skretting",NA,"orange-spotted spinefoot","VNM","yes"
"sprattus sprattus","european sprat","Denmark","yes","no",0,"skretting",NA,"european sprat","DNK","yes"
"sprattus sprattus","european sprat","Norway","yes","no",0,"skretting",NA,"european sprat","NOR","yes"
"sprattus sprattus","sprat","Denmark","no","yes",1,"skretting",NA,"sprat","DNK","yes"
"sprattus sprattus","sprat","Norway","no","yes",1,"skretting",NA,"sprat","NOR","yes"
"thunnini spp","tuna","Ecuador","no","yes",1,"skretting",NA,"tuna","ECU","yes"
"thunnini spp","tuna","Portugal","no","yes",1,"skretting",NA,"tuna","PRT","yes"
"thunnini spp","tuna","Spain","no","yes",1,"skretting",NA,"tuna","ESP","yes"
"thunnus alalunga","albacore","Spain","no","yes",1,"skretting",NA,"albacore","ESP","yes"
"thunnus albacares","yellowfin tuna","American Samoa","no","yes",1,"skretting",NA,"yellowfin tuna","ASM","yes"
"thunnus albacares","yellowfin tuna","Ecuador","yes","yes",0.933014353924132,"skretting",NA,"yellowfin tuna","ECU","yes"
"thunnus albacares","yellowfin tuna","Mauritius","no","yes",1,"skretting",NA,"yellowfin tuna","MUS","yes"
"thunnus albacares","yellowfin tuna","Mexico","yes","no",0,"skretting",NA,"yellowfin tuna","MEX","yes"
"thunnus albacares","yellowfin tuna","Oman","yes","no",0,"skretting",NA,"yellowfin tuna","OMN","yes"
"thunnus albacares","yellowfin tuna","Papa New Guinea","no","yes",1,"skretting",NA,"yellowfin tuna","PNG","yes"
"thunnus albacares","yellowfin tuna","Philippines","yes","yes",0.933014353924132,"skretting",NA,"yellowfin tuna","PHL","yes"
"thunnus albacares","yellowfin tuna","Spain","no","yes",1,"skretting",NA,"yellowfin tuna","ESP","yes"
"thunnus albacares","yellowfin tuna","Thailand","no","yes",1,"skretting",NA,"yellowfin tuna","THA","yes"
"trachurus symmetricus","jackmackerel","Chile","no","yes",1,"skretting",NA,"jackmackerel","CHL","yes"
"trachurus symmetricus","pacific jack mackerel","Chile","yes","no",0,"skretting",NA,"pacific jack mackerel","CHL","yes"
"trachurus symmetricus","pacific jack mackerel","Ecuador","yes","no",0,"skretting",NA,"pacific jack mackerel","ECU","yes"
"trachurus symmetricus","pacific jack mackerel","Mexico","yes","no",0,"skretting",NA,"pacific jack mackerel","MEX","yes"
"trachurus symmetricus","pacific jack mackerel","Peru","yes","no",0,"skretting",NA,"pacific jack mackerel","PER","yes"
"trachurus trachurus","atlantic horse mackerel","Denmark","yes","no",0,"skretting",NA,"atlantic horse mackerel","DNK","yes"
"trachurus trachurus","atlantic horse mackerel","Norway","yes","no",0,"skretting",NA,"atlantic horse mackerel","NOR","yes"
"trisopterus esmarkii","norway pout","Denmark","yes","no",0,"skretting",NA,"norway pout","DNK","yes"
"trisopterus esmarkii","norway pout","Norway","yes","no",0,"skretting",NA,"norway pout","NOR","yes"
NA,"other",NA,"no","yes",1,"skretting",NA,"other",NA,"yes"
